element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
155,Enzo,MCI,MID,6.9,4.059,2.77,77.0,0.902,1,1.3,True,1.333,1,4.06;4.33;4.11;4.01;3.98;4.28,24.77,31.4,5.5,1.0
335,Stach,LEE,MID,6.0,4.057,2.145,82.2,0.973,1,6.3,True,6.333,1,4.06;3.96;4.22;4.11;3.95;3.72,24.02,22.3,4.7,0.8
237,Ndiaye,MCI,MID,5.9,4.045,2.381,81.7,0.973,1,5.3,True,5.333,1,4.04;4.30;4.08;4.06;4.01;4.23,24.72,25.0,5.4,0.5
211,Yeremy,CRY,MID,5.5,4.019,2.367,81.8,0.965,1,3.7,True,3.667,1,4.02;3.83;4.18;3.97;4.21;4.02,24.23,26.8,3.5,0.6
249,Barry,EVE,FWD,5.6,4.015,2.563,82.4,0.975,1,4.0,True,4.0,1,4.02;3.94;3.72;4.23;4.75;4.03,24.69,34.3,6.7,0.9
28,Martinez,CHE,GKP,5.0,4.01,1.75,80.7,0.961,1,1.7,True,1.667,1,4.01;3.12;3.34;3.54;4.02;3.35,21.38,27.9,0.1,0.0
428,Cunha,MUN,MID,7.9,4.009,2.601,79.7,0.933,1,4.7,True,4.667,1,4.01;3.81;4.07;3.64;3.81;3.68,23.02,27.9,4.3,0.7
397,Semenyo,MCI,MID,8.4,3.993,2.664,82.8,0.986,1,4.3,True,4.333,1,3.99;4.27;4.04;3.98;3.94;4.21,24.43,28.6,4.5,0.8
115,De Cuyper,BHA,DEF,4.8,3.976,2.807,81.2,0.957,1,7.0,True,7.0,0,3.98;4.56;4.30;4.06;3.75;3.33,23.98,29.4,6.0,0.9
198,Henderson,CRY,GKP,5.0,3.974,1.774,83.0,0.988,1,1.7,True,1.667,1,3.97;3.20;3.83;3.09;3.48;3.66,21.23,29.5,0.1,0.0
36,Maatsen,AVL,DEF,4.5,3.945,2.407,80.9,0.951,1,2.7,True,2.667,1,3.94;3.72;3.53;3.23;3.25;3.92,21.59,36.1,4.0,0.3
204,Mitchell,CRY,DEF,4.5,3.937,2.37,82.8,0.981,1,5.3,True,5.333,1,3.94;3.15;3.87;3.10;3.56;3.65,21.27,36.4,3.2,0.2
332,Justin,LEE,DEF,4.5,3.914,2.379,83.0,0.984,1,5.3,True,5.333,1,3.91;3.82;3.43;3.77;4.11;3.24,22.28,30.5,2.8,0.3
94,Schade,BRE,MID,6.0,3.906,2.685,83.0,0.985,1,5.0,True,5.0,1,3.91;4.33;4.14;4.59;3.91;4.38,25.26,27.2,4.1,0.8
60,Hill,BOU,DEF,5.5,3.886,2.112,83.3,0.989,1,2.0,True,2.0,1,3.89;3.96;3.28;4.59;3.42;4.01,23.15,28.5,4.7,0.1
544,Xhaka,SUN,MID,5.5,3.882,1.911,82.8,0.981,1,6.0,True,6.0,1,3.88;3.47;3.65;3.40;3.59;3.47,21.46,20.6,3.5,0.4
533,Mukiele,SUN,DEF,5.5,3.874,2.359,83.0,0.988,1,4.3,True,4.333,1,3.87;3.09;3.90;3.28;3.95;3.95,22.04,29.7,3.2,0.3
210,Wharton,CRY,MID,5.5,3.841,1.825,82.9,0.983,1,2.7,True,2.667,1,3.84;3.67;3.94;3.75;3.93;3.82,22.95,20.0,3.6,0.1
173,Thomas,COV,DEF,4.0,3.837,2.298,82.7,0.985,1,5.0,False,5.0,1,3.84;3.79;3.87;3.97;4.15;4.47,24.09,29.4,2.6,0.2
153,Disasi,CRY,DEF,4.5,3.833,2.275,83.0,0.985,1,1.3,True,1.333,1,3.83;3.04;3.74;2.98;3.42;3.53,20.54,34.4,2.2,0.2
79,Evanilson,BOU,FWD,6.0,3.825,2.403,82.8,0.982,1,3.7,True,3.667,1,3.83;4.08;3.69;3.91;3.83;3.78,23.12,31.4,5.5,0.7
127,Gomez,BHA,MID,5.0,3.821,2.273,82.5,0.977,1,4.3,True,4.333,1,3.82;4.80;4.06;4.09;4.08;3.98,24.83,21.5,2.5,0.4
499,Pedro Porro,TOT,DEF,5.5,3.814,2.374,83.0,0.985,1,2.7,True,2.667,1,3.81;3.73;2.93;3.89;2.78;3.41,20.55,36.8,4.0,0.3
43,Tielemans,MUN,MID,5.9,3.811,2.03,81.9,0.967,1,2.7,True,2.667,1,3.81;3.70;3.91;3.58;3.69;3.59,22.28,20.9,3.7,0.2
142,James,CHE,DEF,5.4,3.808,2.341,82.6,0.978,1,0.7,True,0.667,1,3.81;2.90;3.17;3.32;3.93;3.29,20.42,29.1,3.7,0.2
33,Mings,AVL,DEF,4.5,3.807,2.367,80.3,0.942,1,2.3,True,2.333,0,3.81;3.60;3.40;3.11;3.10;3.77,20.79,32.9,2.7,0.3
40,Rogers,CHE,MID,7.6,3.8,2.354,82.6,0.984,1,6.3,True,6.333,1,3.80;3.63;3.78;3.71;4.05;4.05,23.02,24.4,3.1,0.6
230,Branthwaite,EVE,DEF,5.5,3.787,2.135,81.7,0.965,1,4.3,True,4.333,0,3.79;4.08;3.72;3.38;3.15;3.28,21.4,29.0,4.4,0.1
453,Barnes,NEW,MID,6.0,3.787,2.395,82.6,0.978,1,5.7,True,5.667,1,3.79;3.98;3.75;4.19;3.79;4.14,23.64,23.7,3.0,0.5
15,Ødegaard,ARS,MID,6.6,3.781,2.224,77.8,0.903,1,8.0,True,8.0,0,3.78;3.72;3.81;3.69;3.91;3.81,22.72,24.4,2.9,0.4
236,Dewsbury-Hall,EVE,MID,6.5,3.776,2.183,82.8,0.981,1,5.0,True,5.0,1,3.78;3.78;3.58;3.84;4.13;3.70,22.81,22.9,2.5,0.4
41,Buendía,AVL,MID,5.9,3.773,2.279,79.3,0.927,1,2.3,True,2.333,1,3.77;3.65;3.69;3.58;3.78;3.84,22.31,22.2,2.6,0.5
67,Rayan,BOU,MID,6.4,3.771,2.328,82.8,0.98,1,2.0,True,2.0,1,3.77;3.98;3.58;3.96;3.70;3.76,22.75,23.5,2.9,0.5
151,Acheampong,CHE,DEF,4.5,3.743,2.198,80.9,0.951,1,1.7,True,1.667,0,3.74;2.86;3.11;3.27;3.83;3.19,20.0,33.2,2.0,0.1
334,Muharemović,LEE,DEF,5.0,3.739,2.101,80.5,0.958,1,4.7,False,4.667,1,3.74;3.66;3.22;3.58;3.96;3.13,21.29,26.3,4.4,0.1
338,Ampadu,LEE,MID,5.5,3.731,1.702,82.8,0.986,1,3.0,True,3.0,1,3.73;3.67;3.79;3.75;3.69;3.50,22.13,13.8,2.4,0.3
156,Neto,CHE,MID,6.5,3.703,2.244,79.9,0.936,1,3.3,True,3.333,1,3.70;3.54;3.68;3.62;3.95;3.95,22.44,24.4,2.9,0.4
8,Calafiori,ARS,DEF,5.7,3.691,2.676,75.9,0.882,1,7.3,True,7.333,1,3.69;3.12;3.54;3.41;3.83;3.16,20.75,27.3,4.2,0.7
516,Bentancur,TOT,MID,5.5,3.677,1.507,81.0,0.953,1,2.7,True,2.667,1,3.68;3.68;3.53;3.64;3.47;3.60,21.6,10.7,1.9,0.2
96,Damsgaard,BRE,MID,5.5,3.673,1.932,78.3,0.91,1,4.0,True,4.0,1,3.67;3.94;3.84;4.11;3.71;4.01,23.28,19.5,3.1,0.2
503,Van de Ven,TOT,DEF,5.0,3.663,2.5,83.0,0.988,1,3.0,True,3.0,1,3.66;3.58;2.78;3.74;2.63;3.26,19.65,30.0,3.0,0.4
445,Thiaw,NEW,DEF,5.0,3.646,2.411,83.6,0.994,1,2.7,True,2.667,1,3.65;4.45;4.04;4.32;3.54;4.39,24.39,27.3,2.5,0.4
46,Barkley,AVL,MID,5.0,3.641,2.154,79.7,0.933,1,2.3,True,2.333,0,3.64;3.52;3.56;3.45;3.64;3.70,21.51,20.6,2.2,0.3
447,Botman,NEW,DEF,5.0,3.614,2.121,82.9,0.983,1,3.0,True,3.0,1,3.61;4.40;4.02;4.23;3.51;4.32,24.09,24.9,5.2,0.2
45,McGinn,AVL,MID,5.4,3.611,2.23,82.7,0.98,1,1.7,True,1.667,1,3.61;3.48;3.53;3.41;3.61;3.68,21.32,23.2,2.7,0.4
268,King,FUL,MID,5.5,3.6,2.302,81.5,0.961,1,6.3,True,6.333,0,3.60;3.78;3.40;3.60;3.40;3.54,21.32,21.9,2.6,0.4
10,White,ARS,DEF,5.5,3.595,2.227,79.4,0.928,1,6.7,True,6.667,0,3.59;2.98;3.41;3.32;3.70;2.99,19.99,31.7,2.5,0.2
226,Pickford,EVE,GKP,5.5,3.593,1.696,83.0,0.989,1,3.7,True,3.667,1,3.59;3.91;3.58;3.13;2.79;3.07,20.07,24.8,0.1,0
362,Jacquet,LIV,DEF,5.0,3.553,2.13,80.9,0.963,1,3.0,False,3.0,1,3.55;2.68;2.86;2.81;3.25;3.16,18.31,30.1,2.0,0.1
109,Verbruggen,BHA,GKP,4.5,3.55,1.696,83.0,0.988,1,3.0,True,3.0,1,3.55;3.12;3.67;3.34;2.97;2.59,19.24,24.7,0.1,0
214,Kamada,CRY,MID,5.0,3.548,1.774,81.9,0.967,1,3.3,True,3.333,1,3.55;3.38;3.63;3.45;3.62;3.53,21.16,16.4,3.1,0.1
388,Guéhi,MCI,DEF,6.0,3.547,2.588,83.5,0.994,1,6.7,True,6.667,1,3.55;4.75;3.68;4.48;3.91;4.12,24.49,22.9,3.5,0.7
