element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
411,Haaland,MCI,FWD,15.5,6.18,3.444,83.1,0.987,1,8.2,True,8.25,1,6.18;6.08;5.67;5.79;6.28;5.66,35.66,53.6,18.3,4.4
426,B.Fernandes,MUN,MID,12.0,5.52,3.101,83.0,0.988,1,7.2,True,7.25,1,5.52;5.92;5.25;5.53;5.36;5.86,33.44,40.7,13.4,3.7
12,Saka,ARS,MID,9.5,4.994,3.07,82.4,0.975,1,7.5,True,7.5,1,4.99;5.12;4.90;5.26;5.15;5.00,30.42,37.8,11.4,1.7
427,Mbeumo,MUN,MID,7.9,4.853,3.192,82.9,0.983,1,5.8,True,5.75,1,4.85;5.24;4.59;4.86;4.69;5.19,29.42,37.8,8.2,2.0
138,Kostoulas,BHA,FWD,5.5,4.777,3.054,77.8,0.903,1,4.5,True,4.5,0,4.78;3.76;3.87;3.93;3.87;3.90,24.11,45.3,12.2,2.3
68,Tavernier,BOU,MID,6.1,4.747,3.031,81.8,0.965,1,7.2,True,7.25,1,4.75;4.20;4.66;4.38;4.41;4.06,26.46,36.0,7.3,1.6
388,Guéhi,MCI,DEF,6.0,4.712,2.825,83.5,0.994,1,6.5,True,6.5,1,4.71;3.65;4.45;3.88;4.09;3.96,24.74,42.5,5.9,0.8
127,Gomez,BHA,MID,5.0,4.701,3.003,81.8,0.965,1,4.0,True,4.0,1,4.70;3.97;4.00;4.00;3.89;4.02,24.58,34.8,6.9,1.5
106,Thiago,BRE,FWD,7.9,4.559,2.978,83.0,0.985,1,1.2,True,1.25,1,4.56;4.29;4.84;3.94;4.48;4.35,26.46,43.4,11.1,2.0
229,Tarkowski,EVE,DEF,6.1,4.553,2.329,83.5,0.995,1,7.2,True,7.25,1,4.55;4.16;3.85;3.65;3.74;4.55,24.5,35.8,5.9,1.5
