element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
115,De Cuyper,BHA,DEF,4.8,4.539,3.383,82.8,0.981,1,8.0,True,8.0,0,4.54;4.31;4.07;3.75;3.32;4.06,24.05,32.7,10.1,2.6
155,Enzo,MCI,MID,6.9,4.523,2.904,81.0,0.953,1,1.5,True,1.5,1,4.52;4.29;4.19;4.16;4.47;4.10,25.73,34.5,6.6,1.5
481,Anderson,MCI,MID,6.3,4.512,1.892,83.1,0.987,1,3.2,True,3.25,1,4.51;4.31;4.35;4.28;4.42;4.26,26.13,19.7,3.9,0.4
124,Groß,BHA,MID,5.6,4.49,2.808,83.1,0.986,1,8.2,True,8.25,1,4.49;3.81;3.83;3.82;3.72;3.85,23.52,35.4,6.4,1.2
447,Botman,NEW,DEF,5.0,4.488,2.301,82.9,0.983,1,2.8,True,2.75,1,4.49;4.10;4.31;3.59;4.40;3.96,24.85,35.2,5.6,1.4
445,Thiaw,NEW,DEF,5.0,4.458,2.579,83.6,0.994,1,2.5,True,2.5,1,4.46;4.04;4.32;3.55;4.40;3.94,24.71,37.5,8.7,0.5
69,Scott,BOU,MID,6.1,4.348,2.149,83.1,0.985,1,7.0,True,7.0,1,4.35;4.02;4.36;4.12;4.19;4.02,25.06,21.0,4.5,0.9
94,Schade,BRE,MID,6.0,4.318,2.95,83.0,0.985,1,7.5,True,7.5,1,4.32;4.13;4.58;3.90;4.37;4.13,25.43,31.9,5.8,1.3
480,Gibbs-White,NFO,MID,7.9,4.307,2.688,83.1,0.987,1,6.5,True,6.5,1,4.31;4.11;5.27;4.04;4.13;4.57,26.43,28.4,4.5,1.1
154,Palmer,CHE,MID,9.7,4.271,2.922,82.1,0.97,1,6.5,True,6.5,1,4.27;4.48;4.36;4.83;4.89;4.49,27.32,32.2,5.9,1.2
391,Gvardiol,MCI,DEF,5.7,4.266,2.646,82.5,0.976,1,8.2,True,8.25,0,4.27;3.23;4.04;3.47;3.65;3.56,22.22,39.7,4.4,0.5
201,Muñoz,NFO,DEF,5.4,4.258,2.61,82.5,0.977,1,0.8,True,0.75,1,4.26;3.36;4.05;3.83;3.34;3.54,22.38,40.1,5.1,0.5
165,João Pedro,CHE,FWD,7.8,4.257,2.636,82.9,0.982,1,8.2,True,8.25,1,4.26;4.43;4.28;4.66;4.83;4.36,26.82,36.3,7.5,1.1
346,Calvert-Lewin,LEE,FWD,6.0,4.23,2.784,81.4,0.96,1,5.0,True,5.0,1,4.23;4.93;4.57;4.10;3.91;4.39,26.13,39.0,8.8,1.4
397,Semenyo,MCI,MID,8.4,4.218,2.698,82.8,0.986,1,4.0,True,4.0,1,4.22;3.99;3.94;3.89;4.15;3.84,24.03,29.2,4.7,1.1
112,Van Hecke,TOT,DEF,4.9,4.148,2.507,83.4,0.993,1,4.5,True,4.5,1,4.15;3.34;4.30;3.18;3.82;3.50,22.29,34.1,3.4,0.4
472,Murillo,NFO,DEF,5.5,4.101,2.187,83.0,0.988,1,4.8,True,4.75,1,4.10;3.21;3.56;3.73;3.18;3.24,21.02,33.8,4.3,0.1
237,Ndiaye,MCI,MID,5.9,4.081,2.373,78.0,0.92,1,4.2,True,4.25,1,4.08;3.87;3.85;3.80;4.01;3.77,23.38,24.4,6.6,0.6
449,Hall,NEW,DEF,5.2,4.079,2.272,83.2,0.987,1,4.5,True,4.5,1,4.08;3.69;3.91;3.18;4.00;3.55,22.41,37.2,3.4,0.2
230,Branthwaite,EVE,DEF,5.5,4.076,2.16,81.8,0.965,1,4.8,True,4.75,0,4.08;3.71;3.37;3.13;3.28;4.08,21.65,33.1,4.1,0.1
542,E.Le Fée,SUN,MID,5.8,4.075,2.524,83.0,0.985,1,3.2,True,3.25,1,4.08;4.35;3.88;4.19;3.90;4.24,24.64,28.5,4.1,0.6
129,Ayari,BHA,MID,5.4,4.059,2.422,81.1,0.955,1,3.0,True,3.0,1,4.06;3.62;3.62;3.59;3.51;3.63,22.03,24.2,5.6,0.5
467,Sels,NFO,GKP,5.0,4.059,1.771,83.1,0.986,1,3.0,True,3.0,1,4.06;3.17;3.29;3.73;3.15;3.12,20.52,29.7,0.1,0.0
79,Evanilson,BOU,FWD,6.0,4.052,2.546,82.8,0.982,1,4.0,True,4.0,1,4.05;3.66;3.88;3.80;3.75;3.45,22.59,34.7,6.8,0.9
453,Barnes,NEW,MID,6.0,4.02,2.475,82.6,0.978,1,4.8,True,4.75,1,4.02;3.79;4.24;3.83;4.18;4.01,24.07,25.3,3.4,0.7
67,Rayan,BOU,MID,6.4,4.012,2.539,82.1,0.971,1,2.0,True,2.0,1,4.01;3.60;3.99;3.73;3.79;3.55,22.67,26.9,3.9,0.7
469,N.Williams,NFO,DEF,5.0,4.007,2.384,83.6,0.993,1,4.2,True,4.25,1,4.01;3.10;3.63;3.60;3.08;3.21,20.63,37.9,3.8,0.2
335,Stach,LEE,MID,6.0,3.991,2.122,81.8,0.968,1,5.5,True,5.5,1,3.99;4.27;4.14;3.98;3.75;4.17,24.3,21.4,4.5,0.8
249,Barry,EVE,FWD,5.6,3.984,2.539,82.4,0.975,1,3.5,True,3.5,1,3.98;3.77;4.28;4.81;4.08;3.98,24.9,33.8,6.5,0.9
13,Rice,ARS,MID,7.4,3.952,1.96,82.4,0.975,1,4.8,True,4.75,1,3.95;4.05;3.95;4.14;4.02;4.03,24.14,21.1,3.6,0.4
390,Rúben,MCI,DEF,5.5,3.946,2.197,83.1,0.986,1,4.0,True,4.0,1,3.95;2.91;3.77;3.19;3.31;3.29,20.42,36.8,2.6,0.1
60,Hill,BOU,DEF,5.5,3.922,2.158,83.3,0.99,1,2.0,True,2.0,1,3.92;3.25;4.56;3.39;3.98;3.99,23.09,29.3,5.2,0.1
566,Silva,BOU,DEF,5.0,3.909,2.66,78.9,0.94,1,2.5,False,2.5,1,3.91;3.17;4.47;3.34;3.88;3.82,22.59,31.2,4.0,0.7
226,Pickford,EVE,GKP,5.5,3.901,1.779,83.0,0.989,1,4.2,True,4.25,1,3.90;3.57;3.12;2.79;3.07;3.90,20.35,29.6,0.1,0
428,Cunha,MUN,MID,7.9,3.9,2.432,82.7,0.98,1,4.0,True,4.0,1,3.90;4.17;3.73;3.90;3.77;4.12,23.59,25.0,3.3,0.6
239,Garner,EVE,MID,6.0,3.875,1.685,83.1,0.986,1,2.0,True,2.0,1,3.87;3.72;3.86;4.03;3.77;3.87,23.12,15.9,2.8,0.2
173,Thomas,COV,DEF,4.0,3.866,2.297,82.7,0.985,1,3.8,False,3.75,1,3.87;3.97;4.06;4.24;4.56;3.86,24.56,29.6,2.5,0.2
366,Wirtz,LIV,MID,7.4,3.851,2.401,82.2,0.973,1,3.0,True,3.0,1,3.85;4.33;3.93;4.33;4.96;3.92,25.32,25.4,3.3,0.5
305,Davis,IPS,DEF,4.0,3.833,2.717,81.6,0.972,1,5.8,False,5.75,1,3.83;4.30;3.14;4.30;3.87;3.71,23.15,28.0,4.4,0.8
379,Isak,LIV,FWD,9.1,3.831,2.435,79.2,0.924,1,6.2,True,6.25,0,3.83;4.38;3.91;4.31;5.08;3.88,25.39,31.5,5.6,0.7
332,Justin,LEE,DEF,4.5,3.797,2.317,83.0,0.984,1,4.5,True,4.5,1,3.80;3.42;3.75;4.09;3.22;4.39,22.67,29.7,2.6,0.3
15,Ødegaard,ARS,MID,6.7,3.784,2.246,80.1,0.939,1,6.8,True,6.75,0,3.78;3.88;3.75;3.98;3.87;3.84,23.1,25.4,3.0,0.4
389,Matheus N.,MCI,DEF,5.9,3.778,2.111,82.8,0.981,1,2.5,True,2.5,1,3.78;2.75;3.61;3.03;3.14;3.14,19.45,36.2,2.3,0.1
384,Donnarumma,MCI,GKP,5.5,3.77,1.8,83.0,0.988,1,4.2,True,4.25,1,3.77;2.74;3.65;3.06;3.12;3.18,19.52,31.3,0.1,0
202,Richards,CRY,DEF,5.0,3.759,2.127,83.4,0.991,1,1.5,True,1.5,1,3.76;4.47;3.70;4.16;4.26;4.13,24.48,25.0,5.2,0.2
588,Khalaili,CRY,DEF,5.0,3.747,2.517,79.6,0.931,1,3.2,False,3.25,1,3.75;4.49;3.74;4.22;4.25;4.24,24.69,28.5,3.1,0.6
236,Dewsbury-Hall,EVE,MID,6.5,3.738,2.145,82.8,0.981,1,4.2,True,4.25,1,3.74;3.54;3.80;4.08;3.66;3.74,22.56,22.1,2.4,0.4
403,Sávio,TOT,MID,6.5,3.732,2.406,74.9,0.858,1,1.5,True,1.5,0,3.73;3.55;3.55;3.42;3.59;3.38,21.22,25.3,3.5,0.5
26,Havertz,ARS,FWD,7.6,3.724,2.42,78.8,0.919,1,4.2,True,4.25,0,3.72;3.76;3.61;3.83;3.84;3.62,22.38,31.9,5.6,0.7
183,Rudoni,COV,MID,5.0,3.712,2.301,75.3,0.864,1,2.0,False,2.0,1,3.71;3.98;3.80;4.03;4.05;3.71,23.28,23.7,3.0,0.4
334,Muharemović,LEE,DEF,5.0,3.688,2.021,80.5,0.958,1,5.2,False,5.25,1,3.69;3.24;3.60;3.99;3.16;4.25,21.93,24.9,3.7,0.1
473,Aina,NFO,DEF,4.5,3.688,2.127,82.5,0.983,1,2.0,True,2.0,1,3.69;2.80;3.15;3.32;2.78;2.84,18.58,34.1,2.2,0.1
233,Mykolenko,EVE,DEF,4.5,3.687,2.031,83.1,0.989,1,5.5,True,5.5,1,3.69;3.32;2.95;2.69;2.86;3.69,19.2,33.6,1.8,0.0
338,Ampadu,LEE,MID,5.4,3.676,1.634,82.8,0.986,1,4.0,True,4.0,1,3.68;3.80;3.75;3.69;3.50;3.82,22.24,12.7,2.1,0.3
268,King,FUL,MID,5.5,3.675,2.399,78.6,0.916,1,5.5,True,5.5,0,3.67;3.30;3.49;3.30;3.44;3.62,20.82,23.3,3.0,0.5
502,Robertson,TOT,DEF,4.4,3.667,2.388,81.0,0.953,1,3.2,True,3.25,0,3.67;2.89;3.82;2.74;3.35;3.05,19.52,33.6,3.4,0.3
368,Szoboszlai,LIV,MID,7.0,3.664,2.149,82.9,0.987,1,4.5,True,4.5,1,3.66;4.07;3.74;4.08;4.59;3.72,23.86,22.5,2.4,0.3
61,Truffert,BOU,DEF,5.5,3.647,2.18,83.5,0.995,1,2.0,True,2.0,1,3.65;2.97;4.28;3.11;3.70;3.71,21.42,29.4,2.5,0.2
40,Rogers,CHE,MID,7.7,3.635,2.324,82.9,0.987,1,6.8,True,6.75,1,3.64;3.79;3.72;4.06;4.06;3.82,23.09,23.9,2.9,0.4
336,Okafor,LEE,MID,5.8,3.614,2.371,76.4,0.881,1,3.8,True,3.75,0,3.61;3.96;3.80;3.58;3.35;3.80,22.1,22.6,2.9,0.5
399,Cherki,MCI,MID,7.8,3.596,2.417,58.2,0.609,1,6.5,True,6.5,1,3.60;3.44;3.34;3.33;3.57;3.28,20.56,25.7,3.9,0.5
304,O'Shea,IPS,DEF,4.0,3.588,2.045,82.2,0.978,1,2.0,False,2.0,1,3.59;3.93;2.83;3.98;3.70;3.42,21.45,27.1,1.7,0.1
156,Neto,CHE,MID,6.5,3.587,2.22,81.9,0.967,1,3.0,True,3.0,1,3.59;3.73;3.67;4.00;4.00;3.77,22.76,24.3,2.8,0.4
4,Gabriel,ARS,DEF,8.0,3.586,2.354,83.5,0.992,1,6.0,True,6.0,1,3.59;4.05;3.94;4.36;3.60;4.43,23.97,26.5,2.5,0.4
33,Mings,AVL,DEF,4.5,3.586,2.315,81.1,0.954,1,1.8,True,1.75,0,3.59;3.38;3.09;3.08;3.76;2.94,19.84,30.6,2.4,0.2
503,Van de Ven,TOT,DEF,5.0,3.586,2.49,83.3,0.992,1,3.8,True,3.75,1,3.59;2.78;3.75;2.63;3.26;2.95,18.96,28.9,2.9,0.4
330,Bogle,LEE,DEF,4.5,3.577,2.58,83.2,0.987,1,9.2,True,9.25,1,3.58;3.28;3.57;3.85;2.96;4.20,21.44,26.4,4.0,0.6
210,Wharton,CRY,MID,5.5,3.564,1.756,81.5,0.962,1,2.5,True,2.5,1,3.56;3.82;3.65;3.82;3.71;3.90,22.46,18.3,2.7,0.1
464,Wissa,NEW,FWD,6.2,3.541,2.427,78.2,0.91,1,3.8,True,3.75,0,3.54;3.34;3.84;3.49;3.76;3.64,21.61,31.6,5.6,0.7
91,Pinnock,COV,DEF,4.5,3.539,2.039,82.6,0.978,1,1.5,True,1.5,0,3.54;3.59;3.72;3.86;4.19;3.53,22.43,26.7,1.4,0.1
277,Egan,HUL,DEF,4.1,3.527,1.898,82.9,0.987,1,6.2,False,6.25,1,3.53;4.23;3.81;3.81;4.35;3.36,23.09,21.8,3.2,0.1
82,Kelleher,BRE,GKP,5.0,3.498,1.532,83.0,0.988,1,3.5,True,3.5,1,3.50;3.68;3.72;3.95;4.14;3.40,22.39,18.4,0.1,0.0
432,Mainoo,MUN,MID,5.5,3.495,1.593,81.2,0.956,1,4.5,True,4.5,1,3.50;3.67;3.40;3.48;3.39;3.62,21.06,12.9,1.9,0.2
98,Janelt,BRE,MID,5.0,3.484,1.881,79.6,0.931,1,6.2,True,6.25,1,3.48;3.41;3.62;3.33;3.56;3.39,20.79,17.7,2.9,0.2
258,Castagne,FUL,DEF,4.5,3.481,2.492,81.2,0.957,1,4.8,True,4.75,1,3.48;3.56;3.96;3.56;3.41;3.61,21.58,23.5,3.4,0.5
254,Robinson,FUL,DEF,4.5,3.471,2.32,82.1,0.97,1,2.5,True,2.5,1,3.47;3.60;3.99;3.60;3.43;3.62,21.71,29.1,2.9,0.3
45,McGinn,AVL,MID,5.4,3.466,2.114,82.8,0.981,1,2.8,True,2.75,1,3.47;3.51;3.39;3.59;3.65;3.44,21.05,21.2,2.2,0.3
367,Gakpo,LIV,MID,7.2,3.464,2.299,73.0,0.839,1,7.2,True,7.25,1,3.46;3.91;3.54;3.90;4.48;3.52,22.81,22.7,2.8,0.4
544,Xhaka,SUN,MID,5.5,3.459,1.586,82.8,0.982,1,4.8,True,4.75,1,3.46;3.64;3.39;3.58;3.46;3.57,21.1,14.8,1.7,0.2
261,Iwobi,FUL,MID,5.4,3.445,1.998,80.3,0.955,1,2.2,True,2.25,1,3.44;3.16;3.32;3.16;3.26;3.41,19.75,21.4,1.9,0.2
567,Horníček,NEW,GKP,5.0,3.437,1.647,71.7,0.854,1,2.8,False,2.75,1,3.44;3.16;3.21;2.68;3.31;2.96,18.76,22.0,0.0,0
611,Wan-Bissaka,AVL,DEF,4.5,3.435,1.909,82.4,0.976,1,1.7,True,1.667,1,3.44;3.20;2.92;2.86;3.56;2.75,18.73,28.0,1.2,0.0
356,Virgil,LIV,DEF,6.5,3.432,2.182,83.6,0.995,1,4.2,True,4.25,1,3.43;3.70;3.58;4.09;4.11;3.60,22.51,22.9,1.7,0.3
259,Diop,IPS,DEF,4.0,3.427,2.107,83.2,0.988,1,2.0,True,2.0,0,3.43;3.77;2.66;3.82;3.54;3.26,20.48,27.3,1.6,0.1
87,Ajer,BRE,DEF,4.5,3.426,1.987,82.6,0.978,1,3.5,True,3.5,1,3.43;3.57;3.68;3.78;4.05;3.30,21.81,23.4,1.3,0.1
41,Buendía,AVL,MID,5.9,3.412,2.104,75.1,0.862,1,2.2,True,2.25,1,3.41;3.45;3.35;3.54;3.59;3.39,20.73,18.9,1.9,0.3
385,Trafford,LEE,GKP,5.0,3.403,1.581,79.7,0.949,1,4.5,True,4.5,0,3.40;2.85;3.27;3.72;2.93;3.93,20.1,19.7,0.0,0
167,Delap,NFO,FWD,5.5,3.393,2.277,78.2,0.91,1,2.0,True,2.0,0,3.39;3.35;4.35;3.22;3.37;3.76,21.44,28.3,4.4,0.5
598,Elvedi,LEE,DEF,4.5,3.362,2.083,76.5,0.883,1,1.8,False,1.75,1,3.36;3.01;3.31;3.63;2.85;3.90,20.06,27.0,2.1,0.1
552,Brobbey,SUN,FWD,5.8,3.353,2.176,82.5,0.977,1,1.8,True,1.75,1,3.35;3.49;3.16;3.34;3.08;3.43,19.85,26.5,3.8,0.4
483,Ndoye,NFO,MID,5.5,3.347,2.031,73.9,0.842,1,3.5,True,3.5,0,3.35;3.19;3.90;3.17;3.20;3.47,20.28,18.8,1.9,0.2
264,Bobb,FUL,MID,5.5,3.345,2.131,68.3,0.755,1,2.5,True,2.5,0,3.34;3.01;3.17;3.01;3.13;3.29,18.95,21.1,2.4,0.3
417,Dalot,MUN,DEF,4.9,3.339,2.284,83.4,0.991,1,1.5,True,1.5,1,3.34;3.98;3.07;3.22;2.75;3.71,20.07,23.4,2.7,0.2
452,Bruno G.,ARS,MID,6.7,3.328,2.2,70.3,0.808,1,2.0,True,2.0,1,3.33;3.41;3.30;3.50;3.41;3.37,20.32,21.2,2.4,0.3
8,Calafiori,ARS,DEF,5.8,3.326,2.655,82.1,0.97,1,7.0,True,7.0,1,3.33;3.79;3.65;4.10;3.36;4.13,22.36,24.3,3.7,0.8
176,Dasilva,COV,DEF,4.0,3.322,2.157,81.9,0.975,1,1.2,False,1.25,1,3.32;3.41;3.51;3.68;4.00;3.32,21.24,28.8,2.3,0.1
105,Anthony,BRE,MID,5.9,3.32,2.112,73.5,0.836,1,1.2,True,1.25,1,3.32;3.23;3.47;3.11;3.38;3.21,19.72,19.3,2.1,0.2
113,F.Kadıoğlu,BHA,DEF,4.4,3.319,2.453,83.6,0.993,1,2.0,True,2.0,1,3.32;3.55;3.26;2.91;2.50;3.24,18.78,22.8,3.7,0.4
43,Tielemans,MUN,MID,5.8,3.312,1.784,75.3,0.876,1,2.5,True,2.5,1,3.31;3.50;3.20;3.30;3.21;3.45,19.97,15.7,2.5,0.1
95,O.Dango,BRE,MID,6.4,3.305,2.383,62.2,0.685,1,1.5,True,1.5,1,3.30;3.18;3.48;3.01;3.34;3.18,19.49,22.6,3.0,0.4
418,Maguire,MUN,DEF,4.9,3.302,2.176,82.9,0.983,1,2.0,True,2.0,1,3.30;3.93;3.04;3.18;2.72;3.65,19.82,22.5,2.0,0.2
401,Marmoush,TOT,FWD,7.0,3.298,2.221,69.6,0.775,1,1.5,True,1.5,0,3.30;3.23;3.08;3.11;3.20;3.03,18.95,27.1,4.0,0.4
565,M.Sangaré,BRE,MID,5.7,3.296,2.063,71.9,0.856,1,5.5,False,5.5,1,3.30;3.20;3.45;3.09;3.36;3.19,19.59,19.4,3.5,0.2
532,Ballard,SUN,DEF,4.9,3.282,2.148,83.2,0.987,1,3.0,True,3.0,1,3.28;4.10;3.46;4.14;4.12;3.83,22.93,20.6,1.6,0.3
214,Kamada,CRY,MID,5.0,3.276,1.691,81.2,0.957,1,4.5,True,4.5,1,3.28;3.51;3.34;3.50;3.42;3.57,20.62,15.0,2.2,0.1
37,Lindelöf,AVL,DEF,4.5,3.27,2.189,82.1,0.97,1,1.8,True,1.75,0,3.27;3.05;2.76;2.73;3.43;2.60,17.84,24.7,1.9,0.1
525,Fernandes,TOT,MID,5.8,3.269,1.678,76.8,0.89,1,1.5,True,1.5,1,3.27;3.12;3.20;3.05;3.18;3.06,18.88,13.8,2.3,0.1
412,Lammens,MUN,GKP,4.9,3.263,1.605,82.9,0.987,1,1.8,True,1.75,1,3.26;3.83;3.05;3.13;2.69;3.56,19.52,21.1,0.0,0
459,L.Miley,NEW,MID,5.5,3.26,1.687,78.5,0.913,1,2.0,True,2.0,0,3.26;3.12;3.34;3.10;3.33;3.21,19.36,13.9,2.5,0.1
73,Adams,BOU,MID,5.0,3.244,1.563,78.1,0.908,1,2.0,True,2.0,1,3.24;3.04;3.30;3.10;3.17;3.09,18.94,11.3,1.7,0.1
387,O'Reilly,MCI,DEF,6.4,3.242,2.537,56.4,0.636,1,1.2,True,1.25,1,3.24;2.57;3.03;2.69;2.86;2.73,17.12,27.1,3.5,0.6
57,Petrović,BOU,GKP,4.5,3.239,1.602,83.0,0.988,1,1.8,True,1.75,1,3.24;2.68;3.92;2.78;3.37;3.48,19.47,21.0,0.0,0
295,McBurnie,HUL,FWD,5.5,3.238,2.2,79.0,0.94,1,3.0,False,3.0,1,3.24;3.34;3.25;3.33;3.17;3.77,20.1,25.8,3.8,0.4
415,Dorgu,MUN,MID,5.8,3.234,2.117,76.3,0.88,1,1.5,True,1.5,0,3.23;3.45;3.10;3.23;3.12;3.41,19.54,19.3,2.0,0.3
244,Armstrong,EVE,MID,5.0,3.224,1.725,78.8,0.919,1,3.5,True,3.5,0,3.22;3.08;3.21;3.37;3.13;3.22,19.23,13.2,0.9,0.1
145,Fofana,CHE,DEF,5.0,3.22,1.871,82.5,0.977,1,1.0,True,1.0,1,3.22;3.47;3.64;4.20;3.54;3.93,22.0,21.0,1.0,0.1
86,Lewis-Potter,BRE,MID,5.5,3.209,2.096,67.8,0.747,1,4.8,True,4.75,1,3.21;3.11;3.36;3.00;3.26;3.10,19.04,18.8,2.0,0.2
175,van Ewijk,COV,DEF,4.0,3.208,2.005,82.2,0.979,1,1.5,False,1.5,1,3.21;3.26;3.39;3.54;3.86;3.20,20.46,27.0,1.6,0.1
516,Bentancur,TOT,MID,5.5,3.202,1.443,73.4,0.849,1,2.8,True,2.75,1,3.20;3.07;3.17;3.02;3.13;3.03,18.62,9.6,1.4,0.1
533,Mukiele,SUN,DEF,5.4,3.196,2.156,83.3,0.992,1,3.2,True,3.25,1,3.20;4.02;3.36;4.05;4.03;3.75,22.41,22.2,1.9,0.3
580,Charles,FUL,MID,5.0,3.182,1.911,69.0,0.765,1,2.2,False,2.25,1,3.18;2.94;3.08;2.94;3.02;3.15,18.31,16.0,2.6,0.1
581,Diomande,NFO,DEF,5.4,3.182,1.996,66.4,0.731,1,1.2,False,1.25,0,3.18;2.51;2.84;2.90;2.50;2.57,16.5,26.0,1.4,0.1
110,Rushworth,COV,GKP,4.5,3.178,1.601,79.2,0.943,1,1.2,True,1.25,0,3.18;3.17;3.33;3.43;3.74;3.17,20.02,20.4,0.1,0
496,Kinsky,TOT,GKP,4.5,3.174,1.639,76.9,0.915,1,4.0,True,4.0,0,3.17;2.47;3.41;2.37;2.92;2.70,17.04,21.8,0.0,0
522,Gray,TOT,MID,4.9,3.172,1.825,78.1,0.908,1,1.8,True,1.75,0,3.17;3.02;3.09;2.94;3.07;2.94,18.23,15.2,1.2,0.1
257,Bassey,FUL,DEF,4.5,3.167,2.157,83.4,0.991,1,2.2,True,2.25,1,3.17;3.38;3.75;3.38;3.17;3.33,20.18,21.7,1.7,0.2
279,Ajayi,HUL,DEF,4.2,3.163,2.346,82.5,0.983,1,6.5,False,6.5,1,3.16;3.89;3.44;3.47;3.96;3.13,21.05,22.0,2.3,0.4
28,Martinez,CHE,GKP,5.0,3.162,1.46,81.8,0.974,1,1.8,True,1.75,1,3.16;3.39;3.58;4.07;3.39;3.85,21.44,16.0,0.0,0
96,Damsgaard,BRE,MID,5.5,3.157,1.931,63.7,0.692,1,3.2,True,3.25,1,3.16;3.07;3.29;2.96;3.20;3.06,18.74,17.4,2.7,0.1
109,Verbruggen,BHA,GKP,4.5,3.156,1.552,83.0,0.988,1,4.2,True,4.25,1,3.16;3.71;3.38;3.01;2.62;3.35,19.23,18.9,0.2,0
114,Boscagli,BHA,DEF,4.5,3.131,2.079,80.3,0.942,1,3.2,True,3.25,0,3.13;3.46;3.17;2.82;2.44;3.15,18.17,18.0,2.2,0.1
116,Dunk,BHA,DEF,4.5,3.129,2.255,83.4,0.991,1,5.5,True,5.5,1,3.13;3.48;3.17;2.81;2.41;3.15,18.15,21.7,2.1,0.3
290,Slater,HUL,MID,4.5,3.127,1.82,79.9,0.951,1,3.2,False,3.25,1,3.13;3.30;3.17;3.22;3.22;3.41,19.45,16.5,1.2,0.1
591,Enciso,IPS,MID,5.5,3.124,2.12,70.7,0.841,1,3.2,True,3.25,0,3.12;3.39;3.14;3.33;3.02;3.18,19.18,19.7,2.0,0.3
204,Mitchell,CRY,DEF,4.5,3.123,2.163,83.0,0.984,1,4.2,True,4.25,1,3.12;3.84;3.08;3.53;3.62;3.51,20.7,20.4,2.0,0.2
316,Emersonn,IPS,FWD,5.5,3.123,2.239,65.2,0.776,1,6.0,False,6.0,1,3.12;3.42;3.28;3.31;2.96;3.23,19.32,22.6,3.4,0.4
265,Berge,FUL,MID,4.9,3.11,1.618,82.5,0.977,1,2.0,True,2.0,1,3.11;2.97;3.09;2.97;3.00;3.10,18.24,12.9,0.8,0.1
345,Tanaka,LEE,MID,4.9,3.096,1.861,67.7,0.745,1,3.0,True,3.0,0,3.10;3.30;3.21;3.09;2.91;3.23,18.84,14.7,2.3,0.1
267,Lukić,IPS,MID,5.0,3.078,1.761,80.5,0.945,1,2.2,True,2.25,1,3.08;3.28;3.04;3.24;3.02;3.10,18.76,14.6,1.0,0.1
331,Gudmundsson,LEE,DEF,4.5,3.076,2.107,80.4,0.952,1,2.0,True,2.0,1,3.08;2.68;3.02;3.37;2.53;3.65,18.33,20.7,2.2,0.1
419,Martinez,MUN,DEF,5.0,3.076,1.943,82.4,0.975,1,1.5,True,1.5,0,3.08;3.67;2.83;2.95;2.50;3.40,18.43,20.2,1.3,0.0
250,Leno,FUL,GKP,4.5,3.075,1.56,83.0,0.988,1,3.8,True,3.75,1,3.07;3.43;3.76;3.43;3.16;3.27,20.12,19.4,0.0,0
504,Vuskovic,BHA,DEF,5.0,3.058,2.361,71.2,0.848,1,6.0,True,6.0,0,3.06;3.25;3.00;2.71;2.36;2.99,17.37,23.4,2.4,0.4
597,Suzuki,AVL,GKP,5.0,3.043,1.54,68.9,0.821,1,3.5,False,3.5,1,3.04;2.84;2.62;2.53;3.12;2.46,16.61,17.0,0.0,0
209,Johnson,EVE,MID,5.9,3.043,1.856,76.4,0.881,1,1.5,True,1.5,0,3.04;2.89;3.06;3.25;2.96;3.04,18.24,15.2,1.2,0.2
