element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
411,Haaland,MCI,FWD,15.5,4.962,3.092,75.7,0.895,1,4.0,True,6.289,1,4.96;4.71;4.78;5.09;5.23;5.14,29.91,43.4,12.9,2.3
106,Thiago,BRE,FWD,8.0,4.598,2.962,82.3,0.974,1,2.5,True,4.763,1,4.60;4.12;4.58;4.09;4.56;4.29,26.24,43.1,11.0,1.9
426,B.Fernandes,MUN,MID,12.0,4.389,2.632,77.4,0.921,1,4.0,True,6.184,1,4.39;4.69;4.60;5.05;4.71;5.06,28.5,31.1,8.5,0.9
481,Anderson,MCI,MID,6.5,4.265,1.828,82.3,0.974,1,2.3,True,4.737,1,4.27;4.15;4.33;4.25;4.49;4.29,25.78,18.2,2.9,0.4
82,Kelleher,BRE,GKP,5.0,4.233,1.771,81.8,0.974,1,2.6,True,3.763,1,4.23;3.46;4.33;3.20;3.45;3.63,22.3,29.0,0.1,0.0
155,Enzo,CHE,MID,7.0,4.078,2.745,77.9,0.921,1,2.5,True,4.132,1,4.08;4.35;4.70;4.07;3.90;4.08,25.18,31.0,5.3,1.0
480,Gibbs-White,NFO,MID,8.0,4.002,2.62,78.4,0.921,1,2.8,True,4.947,1,4.00;4.00;4.22;3.90;3.94;3.76,23.82,26.5,3.9,0.8
397,Semenyo,MCI,MID,8.5,3.953,2.653,81.8,0.974,1,2.9,True,5.316,1,3.95;3.77;3.96;3.98;4.25;4.03,23.94,27.4,4.1,0.8
229,Tarkowski,EVE,DEF,6.0,3.941,2.265,81.8,0.974,1,2.8,True,4.474,1,3.94;3.38;3.89;4.13;4.42;4.04,23.8,28.4,6.2,0.2
94,Schade,BRE,MID,6.0,3.935,2.828,72.3,0.842,1,2.1,True,3.289,1,3.93;3.47;3.94;3.41;3.79;3.62,22.16,29.1,4.8,1.1
498,Senesi,TOT,DEF,6.0,3.838,2.058,81.8,0.974,1,2.8,True,4.605,1,3.84;4.37;4.27;4.67;4.59;3.80,25.54,25.0,4.8,0.6
55,Watkins,AVL,FWD,8.0,3.831,2.527,75.1,0.868,1,2.5,True,4.395,1,3.83;4.82;3.51;3.94;3.79;3.92,23.81,32.8,6.2,0.8
13,Rice,ARS,MID,7.5,3.78,1.916,77.9,0.921,1,2.6,True,4.842,1,3.78;3.72;3.82;3.78;3.70;3.80,22.6,19.3,3.8,0.4
356,Virgil,LIV,DEF,6.5,3.771,2.336,84.0,1.0,1,3.1,True,4.605,1,3.77;4.52;4.18;4.49;3.50;3.78,24.24,26.5,2.3,0.4
109,Verbruggen,BHA,GKP,4.5,3.699,1.715,84.0,1.0,1,1.9,True,3.421,1,3.70;2.82;3.53;3.63;3.18;3.75,20.61,26.1,0.0,0
84,Collins,BRE,DEF,5.5,3.698,2.249,72.3,0.842,1,2.5,True,3.395,1,3.70;2.93;3.78;2.71;3.02;3.12,19.26,29.9,2.4,0.2
124,Groß,BHA,MID,5.5,3.68,2.069,80.6,0.947,1,2.0,True,4.105,1,3.68;3.40;3.56;3.37;4.06;3.55,21.62,22.4,2.3,0.3
445,Thiaw,NEW,DEF,5.0,3.675,2.605,74.0,0.868,1,2.2,True,3.316,1,3.67;3.72;3.41;3.26;3.96;3.59,21.61,28.2,3.3,0.7
200,Lacroix,CHE,DEF,6.0,3.672,2.15,77.4,0.921,1,2.8,True,4.053,1,3.67;3.76;3.32;4.16;3.31;3.56,21.78,24.3,5.1,0.2
165,João Pedro,CHE,FWD,7.5,3.662,2.497,70.6,0.816,1,2.4,True,4.658,1,3.66;3.92;4.33;3.56;3.54;3.68,22.69,30.9,5.7,0.7
88,Kayode,BRE,DEF,4.5,3.651,2.26,81.8,0.974,1,1.7,True,2.974,1,3.65;2.78;3.75;2.52;2.86;2.99,18.55,28.5,3.0,0.2
69,Scott,BOU,MID,6.0,3.604,1.907,76.7,0.895,1,2.1,True,3.579,1,3.60;3.79;3.62;3.72;3.86;3.56,22.15,16.5,2.4,0.5
427,Mbeumo,MUN,MID,8.0,3.6,2.535,69.6,0.816,1,2.8,True,3.895,1,3.60;3.86;3.78;4.16;3.87;4.18,23.45,25.2,3.6,0.6
367,Gakpo,LIV,MID,7.0,3.575,2.423,72.8,0.842,1,2.5,True,3.447,1,3.58;3.78;3.41;3.87;3.40;3.83,21.87,24.2,3.3,0.5
328,Struijk,BHA,DEF,5.0,3.573,2.324,73.5,0.868,1,2.2,True,2.842,1,3.57;2.74;3.38;3.37;3.36;3.55,19.97,27.3,2.3,0.3
40,Rogers,CHE,MID,7.5,3.566,2.251,81.8,0.974,1,2.6,True,4.447,1,3.57;3.75;3.95;3.60;3.43;3.56,21.86,22.2,2.5,0.4
346,Calvert-Lewin,LEE,FWD,6.0,3.554,2.417,70.8,0.811,1,2.0,True,3.838,1,3.55;3.76;3.67;3.88;3.73;4.32,22.91,29.6,5.1,0.6
1,Raya,ARS,GKP,6.0,3.529,1.76,81.8,0.974,1,4.0,True,4.263,1,3.53;2.94;2.76;3.32;2.66;3.10,18.31,28.6,0.0,0
68,Tavernier,BOU,MID,6.0,3.522,2.492,70.1,0.816,1,2.1,True,3.605,1,3.52;3.71;3.50;3.63;3.87;3.43,21.66,25.0,3.5,0.5
368,Szoboszlai,LIV,MID,7.0,3.469,2.098,79.6,0.947,1,2.5,True,4.211,1,3.47;3.67;3.36;3.73;3.32;3.67,21.22,21.6,2.2,0.3
67,Rayan,BOU,MID,6.5,3.467,2.25,75.5,0.867,1,2.3,True,4.467,1,3.47;3.66;3.46;3.58;3.78;3.40,21.35,22.0,2.6,0.3
79,Evanilson,BOU,FWD,6.0,3.449,2.26,72.8,0.842,1,2.0,True,3.026,1,3.45;3.49;3.38;3.47;3.70;3.35,20.84,26.8,4.1,0.4
237,Ndiaye,EVE,MID,6.0,3.444,2.253,70.7,0.842,1,2.1,True,3.368,1,3.44;3.20;3.62;3.41;3.41;3.22,20.3,21.4,2.4,0.4
529,Roefs,SUN,GKP,5.0,3.435,1.628,77.4,0.921,1,2.6,True,3.579,1,3.44;3.54;2.90;3.03;2.54;3.25,18.7,21.3,0.0,0
525,Fernandes,TOT,MID,6.0,3.431,1.6,82.2,0.972,1,2.1,True,3.75,1,3.43;3.63;3.51;3.65;3.66;3.50,21.38,12.9,1.8,0.2
105,Anthony,BRE,MID,6.0,3.427,2.145,73.4,0.842,1,2.1,True,3.342,1,3.43;3.10;3.44;3.05;3.29;3.20,19.51,19.5,2.1,0.3
469,N.Williams,NFO,DEF,5.0,3.407,2.267,80.1,0.947,1,2.2,True,3.368,1,3.41;2.98;3.89;3.22;3.77;2.90,20.17,22.9,2.9,0.2
226,Pickford,EVE,GKP,5.5,3.402,1.632,84.0,1.0,1,3.3,True,3.553,1,3.40;2.90;3.26;3.63;3.95;3.61,20.75,22.1,0.1,0
4,Gabriel,ARS,DEF,8.0,3.4,2.22,67.4,0.789,1,4.0,True,5.5,1,3.40;2.95;2.87;3.25;2.74;3.11,18.32,26.5,2.2,0.2
471,Milenković,NFO,DEF,5.5,3.377,1.955,82.3,0.974,1,2.5,True,3.132,1,3.38;2.92;3.84;3.20;3.78;2.90,20.02,26.3,1.1,0.0
388,Guéhi,MCI,DEF,6.0,3.373,2.404,77.4,0.921,1,2.8,True,4.711,1,3.37;3.12;3.96;3.09;4.19;3.21,20.94,26.8,2.8,0.4
542,E.Le Fée,SUN,MID,6.0,3.34,1.962,74.5,0.868,1,2.1,True,3.868,1,3.34;3.71;3.37;4.12;3.45;3.67,21.66,18.0,1.6,0.2
113,F.Kadıoğlu,BHA,DEF,4.5,3.339,2.281,76.7,0.895,1,1.7,True,3.105,1,3.34;2.47;3.14;3.12;3.12;3.31,18.5,23.0,2.9,0.2
